,Price,city,History,Millage,Ratings,Year,Make,Model,Transmission,Age
9813,,Lagos,foreign,,3.0,2007.0,Toyota,Corolla,Automatic,13.0
9814,,Lagos,foreign,,3.0,2008.0,Toyota,Camry,Automatic,12.0
9815,,Lagos,foreign,,3.0,2003.0,Toyota,Camry,Automatic,17.0
9816,,Lagos,foreign,,3.0,2007.0,Toyota,Highlander,Automatic,13.0
9817,,Lagos,foreign,,3.0,2015.0,Mercedes-Benz,GLK 350,Automatic,5.0
9818,,Lagos,foreign,,3.0,2013.0,Toyota,Highlander,Automatic,7.0
9819,,Lagos,foreign,,3.0,2005.0,Toyota,4-Runner,Automatic,15.0
9820,,Lagos,foreign,,3.0,2014.0,Toyota,Sienna,Automatic,6.0
9821,,Lagos,foreign,,3.0,2009.0,Lexus,RX 350,Automatic,11.0
9822,,Lagos,foreign,,3.0,2014.0,Mercedes-Benz,CLS 350,Automatic,6.0
9823,,Lagos,foreign,,3.0,2009.0,Mercedes-Benz,GL 550,Automatic,11.0
9824,,Lagos,foreign,,3.0,2008.0,Lexus,ES 350,Automatic,12.0
9826,,Lagos,foreign,,3.0,2008.0,Lexus,ES 350,Automatic,12.0
9827,,Lagos,foreign,,3.0,2019.0,Toyota,Highlander,Automatic,1.0
9828,,Lagos,foreign,,3.0,2013.0,Mercedes-Benz,C 300,Automatic,7.0
9829,,Lagos,foreign,,3.0,2009.0,Pontiac,Vibe,Automatic,11.0
9830,,Lagos,foreign,,3.0,2008.0,Toyota,Highlander,Automatic,12.0
9831,,Lagos,foreign,,3.0,2010.0,Mercedes-Benz,C 300,Automatic,10.0
9832,,Lagos,foreign,,3.0,2010.0,Toyota,Venza,Automatic,10.0
9833,,Lagos,foreign,,3.0,2008.0,Lexus,IS 250,Automatic,12.0
9834,,Lagos,foreign,,3.0,2008.0,Acura,MDX,Automatic,12.0
9835,,Lagos,foreign,,3.0,2007.0,Toyota,Corolla,Automatic,13.0
9836,,Lagos,foreign,,3.0,2009.0,Acura,MDX,Automatic,11.0
9837,,Lagos,foreign,,3.0,2014.0,Mercedes-Benz,GL 400,Automatic,6.0
9838,,Lagos,foreign,,3.0,2006.0,Toyota,Highlander,Automatic,14.0
9839,,Lagos,foreign,,3.0,2008.0,Toyota,RAV 4,Automatic,12.0
9840,,Lagos,foreign,,3.0,2012.0,Acura,MDX,Automatic,8.0
9841,,Lagos,foreign,,3.0,2002.0,Lexus,RX 300,Automatic,18.0
9842,,Lagos,foreign,,3.0,2012.0,Toyota,Land Cruiser,Automatic,8.0
9843,,Lagos,foreign,,3.0,2011.0,Hyundai,Tucson,Automatic,9.0
9844,,Lagos,foreign,,3.0,2015.0,Hyundai,Santa Fe,Automatic,5.0
9845,,Lagos,foreign,,3.0,2004.0,Toyota,Sequoia,Automatic,16.0
9846,,Abuja,foreign,,3.0,2013.0,Hyundai,Tucson,Automatic,7.0
9847,,Lagos,foreign,,3.0,2011.0,Toyota,Corolla,Automatic,9.0
9848,,Lagos,foreign,,3.0,2008.0,Acura,MDX,Automatic,12.0
9849,,Lagos,foreign,,3.0,2011.0,Lexus,ES 300,Automatic,9.0
9850,,Lagos,foreign,,3.0,2010.0,Lexus,RX 200,Automatic,10.0
9851,,Lagos,foreign,,3.0,2008.0,Lexus,ES 300,Automatic,12.0
9852,,Lagos,foreign,,3.0,2009.0,Toyota,Highlander,Automatic,11.0
9853,,Lagos,foreign,,3.0,2007.0,Toyota,Avalon,Automatic,13.0
9854,,Lagos,foreign,,3.0,2009.0,Lexus,ES 300,Automatic,11.0
9855,,Lagos,foreign,,3.0,2007.0,Mercedes-Benz,C 240,Automatic,13.0
9856,,Lagos,foreign,,3.0,2005.0,Mercedes-Benz,ML 350,Automatic,15.0
9857,,Lagos,foreign,,3.0,2003.0,Toyota,Camry,Automatic,17.0
9858,,Lagos,foreign,,3.0,2011.0,Toyota,Camry,Automatic,9.0
9859,,Lagos,foreign,,3.0,2013.0,Mercedes-Benz,GLK 350,Automatic,7.0
9860,,Lagos,foreign,,3.0,2010.0,Honda,Pilot,Automatic,10.0
9861,,Lagos,foreign,,3.0,2009.0,BMW,X6,Automatic,11.0
9862,,Lagos,foreign,,3.0,2015.0,Honda,Accord,Automatic,5.0
9863,,Lagos,foreign,,3.0,2005.0,Toyota,Highlander,Automatic,15.0
9864,,Lagos,foreign,,3.0,2003.0,Toyota,Camry,Automatic,17.0
9865,,Lagos,foreign,,3.0,2009.0,Toyota,Camry,Automatic,11.0
9866,,Lagos,foreign,,3.0,2003.0,Mitsubishi,L200,Automatic,17.0
9867,,Lagos,foreign,,3.0,2006.0,Ford,F 150,Automatic,14.0
9868,,Lagos,foreign,,3.0,2014.0,Toyota,Venza,Automatic,6.0
9869,,Abuja,foreign,,3.0,2015.0,Honda,Accord,Automatic,5.0
9870,,Lagos,foreign,,3.0,2003.0,Lexus,RX 300,Automatic,17.0
9871,,Rivers,foreign,,3.0,2009.0,Toyota,RAV 4,Automatic,11.0
9872,,Lagos,foreign,,3.0,2018.0,Toyota,RAV 4,Automatic,2.0
9873,,Lagos,foreign,,3.0,2019.0,Honda,Accord,Automatic,1.0
9874,,Lagos,foreign,,3.0,2004.0,Lexus,GX 470,Automatic,16.0
9876,,Lagos,foreign,,3.0,2010.0,Toyota,Corolla,Automatic,10.0
9877,,Lagos,foreign,,3.0,2005.0,Lexus,RX 350,Automatic,15.0
9878,,Lagos,foreign,,3.0,2016.0,Toyota,Camry,Automatic,4.0
9879,,Lagos,foreign,,3.0,2008.0,Toyota,RAV 4,Automatic,12.0
9880,,Lagos,foreign,,3.0,2006.0,Toyota,Highlander,Automatic,14.0
9881,,Lagos,foreign,,3.0,2010.0,Mercedes-Benz,GL 450,Automatic,10.0
9882,,Lagos,foreign,,3.0,2012.0,Land,Rover Range Rover Sport,Automatic,8.0
9883,,Lagos,foreign,,3.0,2013.0,Mercedes-Benz,ML 350,Automatic,7.0
9884,,Oyo,foreign,,3.0,2007.0,Lexus,IS 350,Automatic,13.0
9885,,Abuja,foreign,,3.0,2019.0,Toyota,Hilux,Automatic,1.0
9886,,Lagos,foreign,,3.0,2013.0,Land,Rover Range Rover Sport,Automatic,7.0
9887,,Abuja,foreign,,3.0,2005.0,Toyota,Highlander,Automatic,15.0
9888,,Lagos,foreign,,3.0,2009.0,Acura,MDX,Automatic,11.0
9889,,Lagos,foreign,,3.0,2010.0,Toyota,Camry,Automatic,10.0
9890,,Lagos,foreign,,3.0,2010.0,Toyota,Highlander,Automatic,10.0
9891,,Lagos,foreign,,3.0,2003.0,Toyota,Sienna,Automatic,17.0
9892,,Lagos,foreign,,3.0,2005.0,Toyota,Highlander,Automatic,15.0
9893,,Lagos,foreign,,3.0,2008.0,Toyota,Sienna,Automatic,12.0
9894,,Lagos,foreign,,3.0,2010.0,Toyota,Sequoia,Automatic,10.0
9895,,Lagos,foreign,,3.0,2006.0,Toyota,Land Cruiser,Automatic,14.0
9896,,Lagos,foreign,,3.0,2016.0,Toyota,4-Runner,Automatic,4.0
9897,,Lagos,foreign,,3.0,2012.0,Lexus,ES 350,Automatic,8.0
9898,,Lagos,foreign,,3.0,2012.0,Mercedes-Benz,C 250,Automatic,8.0
